iter	Passed	Remaining
402	12057	2902
403	12086	2872
404	12117	2842
405	12146	2812
406	12176	2782
407	12206	2752
408	12236	2722
409	12266	2692
410	12295	2662
411	12325	2632
412	12354	2602
413	12384	2572
414	12414	2542
415	12444	2512
416	12474	2482
417	12503	2452
418	12533	2422
419	12562	2392
420	12592	2362
421	12622	2333
422	12651	2302
423	12679	2272
424	12710	2242
425	12739	2212
426	12768	2182
427	12798	2152
428	12827	2123
429	12857	2093
430	12886	2063
431	12915	2033
432	12945	2003
433	12975	1973
434	13005	1943
435	13035	1913
436	13065	1883
437	13095	1853
438	13126	1823
439	13156	1794
440	13186	1764
441	13216	1734
442	13246	1704
443	13276	1674
444	13306	1644
445	13335	1614
446	13365	1584
447	13394	1554
448	13423	1524
449	13454	1494
450	13484	1465
451	13513	1435
452	13543	1405
453	13572	1375
454	13602	1345
455	13632	1315
456	13662	1285
457	13692	1255
458	13722	1225
459	13751	1195
460	13781	1165
461	13811	1135
462	13841	1106
463	13870	1076
464	13900	1046
465	13929	1016
466	13960	986
467	13990	956
468	14020	926
469	14050	896
470	14080	866
471	14109	837
472	14139	807
473	14169	777
474	14199	747
475	14229	717
476	14259	687
477	14289	657
478	14318	627
479	14348	597
480	14378	567
481	14408	538
482	14438	508
483	14468	478
484	14498	448
485	14527	418
486	14559	388
487	14588	358
488	14618	328
489	14648	298
490	14676	269
491	14706	239
492	14736	209
493	14765	179
494	14795	149
495	14825	119
496	14855	89
497	14884	59
498	14914	29
499	14943	0
