iter	MultiClass
228	0.6446294392
229	0.6433477342
230	0.6425856803
231	0.641656491
232	0.6401288256
233	0.6391070017
234	0.6381058394
235	0.6374498171
236	0.6360517618
237	0.6350732131
238	0.6340339039
239	0.6330360643
240	0.6314484644
241	0.6300340412
242	0.6286648403
243	0.6275909554
244	0.6265178774
245	0.6254256227
246	0.6243798082
247	0.6233967803
248	0.6217323861
249	0.6207971327
250	0.6197636839
251	0.6187358327
252	0.6173619398
253	0.6157408922
254	0.6145581575
255	0.6135239449
256	0.6127040081
257	0.6118999668
258	0.6110204514
259	0.6098632932
260	0.6088089915
261	0.6079846957
262	0.606960291
263	0.6055356629
264	0.6047011992
265	0.6036962014
266	0.6026900125
267	0.6018757206
268	0.6007939453
269	0.599717784
270	0.5986428193
271	0.5971929905
272	0.5964316335
273	0.5958318569
274	0.5952435287
275	0.5944211239
276	0.5938372158
277	0.5930085893
278	0.5920790498
279	0.5906777769
280	0.589347766
281	0.5880251274
282	0.5871414151
283	0.5860963869
284	0.5853919546
285	0.5847579738
286	0.5836138747
287	0.5829084009
288	0.5822876569
289	0.5813221232
290	0.5800888605
291	0.579297122
292	0.5784145228
293	0.5775540506
294	0.576102224
295	0.575262172
296	0.5736480056
297	0.5727813469
298	0.5714725869
299	0.5699660962
300	0.5691477877
301	0.5683660135
302	0.567464949
303	0.5670229236
304	0.5660571703
305	0.5654434307
306	0.564814585
307	0.5639371353
308	0.5628551077
309	0.5622054801
310	0.5614305993
311	0.5606579707
312	0.560059264
313	0.5589453452
314	0.5580688127
315	0.5568618509
316	0.5561939871
317	0.5552035783
318	0.5537226442
319	0.552770048
320	0.55185404
321	0.5507667199
322	0.5498903647
323	0.5490946504
324	0.5484960619
325	0.5475442202
326	0.5470615615
327	0.5463194909
328	0.545711876
329	0.5447338932
330	0.5438861277
331	0.5429547522
332	0.5421908525
333	0.5413585319
334	0.5406057777
335	0.5395786371
336	0.5388304318
337	0.5381970836
338	0.5373522232
339	0.5366894914
340	0.5357867262
341	0.5350623964
342	0.5343584497
343	0.5339146773
344	0.5335151051
345	0.532520036
346	0.5320476929
347	0.5314090679
348	0.5304813021
349	0.5295010782
350	0.5287477149
351	0.5277487093
352	0.5267491672
353	0.5258208075
354	0.5249288476
355	0.5239763223
356	0.5230057333
357	0.5218044768
358	0.5210599643
359	0.5202196952
360	0.5195301319
361	0.5187461001
362	0.5180270142
363	0.5173918114
364	0.5167726264
365	0.5164721403
366	0.5159328162
367	0.5149432701
368	0.5141430007
369	0.5136117968
370	0.5125236351
371	0.5117480196
372	0.5105140955
373	0.5098355029
374	0.508910483
375	0.508052033
376	0.5072395025
377	0.5063119591
378	0.5054463262
379	0.5046331411
380	0.5038285428
381	0.5032795539
382	0.5025250005
383	0.5019679009
384	0.5012297529
385	0.5004138567
386	0.499534884
387	0.498548247
388	0.4978246411
389	0.4968908066
390	0.4959866695
391	0.4952925887
392	0.4943050206
393	0.4938135816
394	0.4930689329
395	0.4924974877
396	0.4919153375
397	0.4910890795
398	0.4904184833
399	0.4897623984
400	0.4889522037
401	0.4882942442
402	0.4873694735
403	0.4866623339
404	0.4858220878
405	0.485289769
406	0.4843724717
407	0.4836056263
408	0.4828703425
409	0.4821640196
410	0.4814454878
411	0.4808609
412	0.4801284242
413	0.4792432141
414	0.4785251004
415	0.4777371116
416	0.477061209
417	0.4764053152
418	0.4755714448
419	0.4750520743
420	0.4739339385
421	0.4731188686
422	0.4728356376
423	0.4721924913
424	0.471418135
425	0.4707545428
426	0.4699394221
427	0.469110379
428	0.4683764875
429	0.467704949
430	0.4670930428
431	0.4665340929
432	0.4658538652
433	0.4652118554
434	0.4645667841
435	0.4633777221
436	0.462606621
437	0.4619583535
438	0.4609187461
439	0.4604220297
440	0.4595357407
441	0.458637694
442	0.4582322108
443	0.4577046376
444	0.4569081806
445	0.4563899859
446	0.4554927279
447	0.4548737823
448	0.4543401249
449	0.4538212868
450	0.4533072305
451	0.4524608094
452	0.4520160005
453	0.4514956545
454	0.4508919583
455	0.4501050905
456	0.449783825
457	0.449186537
458	0.4486452565
459	0.4479867757
460	0.4469852876
461	0.4462890663
462	0.4456899352
463	0.444963794
464	0.4445671498
465	0.4440868193
466	0.443455392
467	0.4427377362
468	0.4419469928
469	0.4410308355
470	0.4406413748
471	0.4400365568
472	0.439716618
473	0.4386699826
474	0.4382422861
475	0.4378722144
476	0.4372179972
477	0.4364806188
478	0.4360112244
479	0.4352539377
480	0.4345924204
481	0.4342621962
482	0.4336651455
483	0.4330038944
484	0.4324793508
485	0.4319680937
486	0.4312528398
487	0.4307959911
488	0.4300085551
489	0.4295997182
490	0.4292820602
491	0.4287623976
492	0.4280415667
493	0.4272822501
494	0.426750864
495	0.4262411392
496	0.4255771843
497	0.4250562422
498	0.4244461418
499	0.4240777102
